Title,ID,Year,Image,Review
"Beauty and the Beast",tt0101414,1991,https://ia.media-imdb.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"The greatest of all the Disney films, <i>Beauty and the Beast</i> captures fairytale magic and all that is enchanting, while still being thrilling and witty. It’s primary characters are complex and its animation—state-of-the-art at the time—is still beautiful and some of Disney’s finest. It also designates sufficient time to developing the love story of its leads, something uncharacteristic of children’s film."
"Snow White and the Seven Dwarfs",tt0029583,1937,https://ia.media-imdb.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg,"<i>Snow White</i> could claim this position purely for its animation, dazzling today just as much as it was in 1937. However, it also offers a glimpse into early children’s film and storytelling, displaying the darker possibilities and more nuanced stories that were created in a time forgotten."
"The Lion King",tt0110357,1994,https://ia.media-imdb.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,"It’s amazing to me that Disney took a chance on a semi-original story (something it had almost no experience in). With that chance, they arrived at a beautifully scored and animated film with interesting themes to explore. Moreover, the movie demonstrates some of the best camera movement up to that point in animated film. However, I don’t care for the occasional attempts to lift the mood; it was a good drama as it was. Scar, while despicable and eerie, is not threatening. All-in-all, the <i>Lion King</i> is a great movie with a couple strong scenes (the stampede and death of scar most notably), but it does not establish the mood and epic feel it desired."
Bambi,tt0034492,1942,https://ia.media-imdb.com/images/M/MV5BMTY1NzM4NDg5MV5BMl5BanBnXkFtZTgwMjI1MTkzMjE@._V1_SX300.jpg,"This is a great coming-of-age story with well-crafted characters."
"Sleeping Beauty",tt0053285,1959,https://ia.media-imdb.com/images/M/MV5BOTJmZjA3MjMtMWNmZS00YTliLWFhMWUtZDU2NGJhNTlmY2ZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"<i>Sleeping Beauty</i> defines what it means to be a fairytale; everything in the film (especially the world-design) is built toward that purpose."
"The Little Mermaid",tt0097757,1989,https://ia.media-imdb.com/images/M/MV5BN2JlZTBhYTEtZDE3OC00NTA3LTk5NTQtNjg5M2RjODllM2M0XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"Unlike most children’s movies, Disney’s first installment toward their “Renaissance” was a full film with real character development. There are certainly minor flaws, but they pale in the shadow of this giant of a movie."
Frozen,tt2294629,2013,https://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,"Though its beginning is too rushed for effectiveness, <i>Frozen</i> is a beautiful, epic fairytale with excellent music and sweet storytelling."
"Mulan ","Mulan 844",1998,https://ia.media-imdb.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"<i>Mulan</i> offers a good soundtrack and animation, but excels in its humor and villain characterization. It does, however, try too hard at times for laughs."
"The Black Cauldron",tt0088814,1985,https://ia.media-imdb.com/images/M/MV5BOTM0N2Q4NjMtZjk2Yy00MmI0LTk2YTItMGQ3NGI5MjU4NzA5XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"This forgotten gem glimmers on rare occasion with excellent artwork and darker themes. Check out Ebert’s review on this flick."
"The Many Adventures of Winnie the Pooh",tt0076363,1977,https://ia.media-imdb.com/images/M/MV5BNjg5MjQzYTQtMTUzZC00NzlkLTgzZDEtMjg0OWY4NTNjNzJlXkEyXkFqcGdeQXVyNjI4MjU4MTY@._V1_SX300.jpg,"This Disney classic captures the magic of childhood nostalgia and innocence."
