Title,ID,Year,Image,Review
"The Avengers",tt0848228,2012,https://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,"Surely you didn’t expect anything else to be number one? Some have said <i>The Avengers</i> doesn’t hold up well. I say: Nonsense. The wit is perfect, the story streamlined. Each character is given their motivation and their story understands that motivation; all threads come together and everything is paid off. In addition to these fundamental virtues, though, <i>The Avengers</i> is a huge movie with huge importance. More than <i>Iron Man</i>, <i>The Avengers</i> showed what the MCU could be and continues to be. It is, in many regards, a perfect movie."
"Captain America: Civil War",tt3498820,2016,https://ia.media-imdb.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,"Civil War is Marvel’s <i>Empire Strikes Back</i> (at least before <i>Infinity War</i> came out). It is the low point of the series (emotionally; quality-wise its the highpoint) with the dramatic events that shape the franchise. While maintaining the MCU’s signature snark, it manages a darker tone with intimate interactions for its main protagonists. The Russo brothers bring the well structured narrative and choreographed fights of their first endeavor, <i>The Winter Soldier</i>, to <i>Civil War</i> as well as an openness to the entire Marvel Universe. Perhaps, <i>Civil War</i>’s one weakness is that the stakes are watered down in the last five minutes of the movie to make it more palpable for audiences."
"Iron Man",tt0371746,2008,https://ia.media-imdb.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg,"It can be no surprise that the original Marvel movie cracks our top three. <i>Iron Man</i> is significantly more tame than the most recent franchise installments, and by its smaller scope, it delivers one of the most personal stories in the universe. The movie is also noteworthy purely for its cinematic influence, not only for establishing the summer tentpole genre for the next decade but also for demonstrating the power of casting."
"Avengers: Infinity War",tt4154756,2018,https://ia.media-imdb.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,"This movie is exactly what the MCU needed—a movie with all the spectacle and humor, but moving this unprecedented franchise in new directions. While the film is certainly flawed, it is breathtaking in its achievement, both in the scope of the franchise and in cinema history."
"Captain America: The Winter Soldier",tt1843866,2014,https://ia.media-imdb.com/images/M/MV5BMjM2NzUzNzQwNl5BMl5BanBnXkFtZTgwMDQ1MDkwMTE@._V1_SX300.jpg,"Like <i>Ant-Man</i>, <i>The Winter Soldier</i> explored a new genre for the Marvel franchise. As an action-oriented spy-thriller, this movie works as a fast-paced genre-blending blockbuster. Its choreographed fight scenes stand out as some of the best in the business."
"Thor: Ragnarok",tt3501632,2017,https://ia.media-imdb.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SX300.jpg,"I could see this movie dropping in the rankings when the pure joy of watching it wears off. But for now, <i>Thor: Ragnarok</i> demonstrates a movie with growing characters, some visual humor, and possibly the funniest Marvel script to-date."
"Guardians of the Galaxy Vol. 2",tt3896198,2017,https://ia.media-imdb.com/images/M/MV5BMTg2MzI1MTg3OF5BMl5BanBnXkFtZTgwNTU3NDA2MTI@._V1_SX300.jpg,"Though I stand in the minority here, I’ll contend that <i>Guardians 2</i> is the most clever and stylistically unique of all the MCU movies. This exceptionality is most evident in its visual gags, something unseen in Marvel movies at that point. Moreover, <i>Volume 2</i> needs to be praised for the emotional and thematic line of fatherhood that gets pulled through the entire narrative and actually results in the main characters’ growth."
"Guardians of the Galaxy",tt2015381,2014,https://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,"The first and second Guardians movies are intelligent, funny, and—like <i>Doctor Strange</i>—visually interesting. They even have a level of depth to them as seen in the first movie by its emotional crux, Rocket Raccoon. (Yes, Rocket is the emotional center of the movie, even more than Quill and his mom)."
"Black Panther",tt1825683,2018,https://ia.media-imdb.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_SX300.jpg,"<i>Black Panther</i> offers a creative new setting and a couple well-choreographed fight scenes. However, its greatest asset is its social slant joined with its commercial success, proving that audiences desire intelligent, worthwhile movies even during the summer."
"Captain America: The First Avenger",tt0458339,2011,https://ia.media-imdb.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_SX300.jpg,"Like <i>Avengers: Age of Ultron</i>, the first Captain movie is a divider, entering us into the greatest of the MCU, the ones that each accomplish something special. And <i>Captain America: The First Avenger</i> is special for delivering a romanticized hero, something audiences hadn’t seen since <i>The Rocketeer</i> or 1978’s <i>Superman</i>."
