Title,ID,Year,Rating,Review
"Snow White and the Seven Dwarfs",tt0029583,1937,9,"Snow White could claim this score purely for its animation, dazzling today just as much as it was in 1937. However, it also offers a glimpse into early children’s film and storytelling, displaying the darker possibilities and more nuanced stories that were created in a time forgotten."
"The Wizard of Oz",tt0032138,1939,7,"Whenever I got into film criticism, I had a hard time understanding the Wizard of Oz's place in the American film canon. I remember reading Otis Ferguson's review of the movie, the early and only detractor to the film's greatness, and sympathizing with all of this witty criticism. However, later I stumbled across Roger Ebert's review of the film, and it changed everything for me. I recommend everyone check out Ebert's review. It persuaded me. Judy's voice, the 30s Hollywood effects, the silliness... Dorthy opening that door."
"Gulliver's Travels",tt0031397,1939,7,"Not quite Snow White, but an excellent way to start the genre."
Pinocchio,tt0032910,1940,7,"This classic has fun songs, good animation (though not as good as its predecessor), and a certain depth, but its themes are too on the nose and its pacing uneven."
Dumbo,tt0033563,1941,5,"While one of its scenes is exceptionally potent, the rest is strange and distancing."
Bambi,tt0034492,1942,9,"Bambi is a beautiful piece from another time."
Cinderella,tt0042332,1950,7,"It’s sweet but too hurried for any real attachment."
"Alice in Wonderland",tt0043274,1951,7,"Psychologically interesting for its nonsensical elements—and at times even sweet—Alice in Wonderland is still strange and distant."
"Duck Amuck",tt0045708,1953,8,***
"Sleeping Beauty",tt0053285,1959,9,"Sleeping Beauty defines what it means to be a fairytale; everything in the film (especially the world-design) is built toward that purpose."
"Mary Poppins",tt0058331,1964,8,***
"How the Grinch Stole Christmas!",tt0060345,1966,7,***
"The Jungle Book",tt0061852,1967,7,"It can be really fun at times, but it too suffers from rushed storytelling and character you never grow to care for."
"Willy Wonka & the Chocolate Factory",tt0067992,1971,9,"1971's Willy Wonka, besides being a haven of nostalgia for thousands, is a movie crafted for whimsy and grace, a style almost forgotten in modern cinema"
"Robin Hood",tt0070608,1973,8,"Sweet, folksy, and simple, this movie—like The Adventures of Winnie the Pooh—captures nostalgia and whimsy. However, it does suffer from a hurried story and sub-par animation."
"The Many Adventures of Winnie the Pooh",tt0076363,1977,8,"This Disney classic captures the magic of childhood nostalgia and innocence."
"Star Wars: Episode IV - A New Hope",tt0076759,1977,9,"Its influence has made it tame and almost cliche, but despite its age, A New Hope is a masterpiece of storytelling and ingenuity. There should be no question why it was able to impact so many people and so many films."
"Star Wars: Episode V - The Empire Strikes Back",tt0080684,1980,9,"The Empire Strikes Back deftly delivers Lucas’s creativity, Kershner’s technical know-how, more rounded characters than its predecessor, and ground-breaking storytelling. And for such, it stands as not only an excellent Star Wars movie and a great sequel, but as one of the best movies ever made."
"Star Wars: Episode VI - Return of the Jedi",tt0086190,1983,8,"By merit of its final act and its place in the original trilogy, this movie is able to transcend some major disadvantages."
"A Christmas Carol",tt0087056,1984,8,***
"¡Three Amigos!",tt0092086,1986,8,***
"The Land Before Time",tt0095489,1988,7,***
"The Little Mermaid",tt0097757,1989,9,"The Little Mermaid, though introducing a thematically dubious structure to children's film, revitalized the genre and is the foundation for countless masterpieces afterward."
"Honey, I Shrunk the Kids",tt0097523,1989,7,***
"DuckTales the Movie: Treasure of the Lost Lamp",tt0099472,1990,7,***
"The Rescuers Down Under",tt0100477,1990,7,"Distractingly inconsistent, this movie still demonstrates solid effects and a menacing villain."
"Home Alone",tt0099785,1990,7,***
"Beauty and the Beast",tt0101414,1991,10,"The greatest of all the Disney films, Beauty and the Beast captures fairytale magic and all that is enchanting, while still being thrilling and witty. It’s primary characters are complex and its animation—state-of-the-art at the time—is still beautiful and some of Disney’s finest. It also designates sufficient time to developing the love story of its leads, something uncharacteristic of children’s film."
Aladdin,tt0103639,1992,7,"This movie dropped a lot for me with a more recent viewing. While the Genie character is strong and the climax excellent, it has little in the way of propulsion."
"Home Alone 2: Lost in New York",tt0104431,1992,6,***
"The Lion King",tt0110357,1994,9,"It’s amazing to me that Disney took a chance on a semi-original story (something it had almost no experience in). With that chance, they arrived at a beautifully scored and animated film with interesting themes to explore. Moreover, the movie demonstrates some of the best camera movement up to that point in animated film. However, I don’t care for the occasional attempts to lift the mood; it was a good drama as it was. Scar, while despicable and eerie, is not threatening. All-in-all, the Lion King is a great movie with a couple strong scenes (the stampede and death of scar most notably), but it does not establish the mood and epic feel it desired."
"The Swan Princess",tt0111333,1994,6,***
"The Jungle Book",tt0110213,1994,7,***
"101 Dalmatians",tt0115433,1996,6,***
"Men in Black",tt0119654,1997,8,"Funny and intense, it's no secret why this movie occupied such a prominent position in culture"
"Batman & Robin",tt0118688,1997,5,***
Mulan,tt0120762,1998,8,"Mulan offers a good soundtrack and animation, but excels in its humor and villain characterization. It does, however, try too hard at times for laughs."
"The Prince of Egypt",tt0120794,1998,9,***
"A Bug's Life",tt0120623,1998,8,***
"The Mask of Zorro",tt0120746,1998,7,***
"The Waterboy",tt0120484,1998,6,***
"Mighty Joe Young",tt0120751,1998,7,***
"Doctor Dolittle",tt0061584,1967,7,***
"Doctor Dolittle",tt0118998,1998,5,***
"Star Wars: Episode I - The Phantom Menace",tt0120915,1999,7,"While the Phantom Menace is certainly flawed, its main asset is its world-building and the sheer creativity at display in Lucas’s plot."
"The Mummy",tt0120616,1999,7,"A much needed adaption for a classic horror film."
"The Iron Giant",tt0129167,1999,10,"The Iron Giant is the most thematically cohesive and powerful children's movie ever made."
"Toy Story 2",tt0120363,1999,9,***
Tarzan,tt0120855,1999,8,"This movie has a lot going for it—artistic strength, good music, easy pacing—but it never transcends, never becoming a great movie."
"The Sixth Sense",tt0167404,1999,9,"The Sixth Sense, though not the first movie with a twist, is maybe the best movie with a twist. It launched multiple careers and affected the industry for years to come."
"Inspector Gadget",tt0141369,1999,3,***
Fantasia,tt0032455,1940,8,"Though handicapped by its storylessness, Fantasia is undeniably enchanting."
"It's a Wonderful Life",tt0038650,1946,10,"Though sometimes pigeonholed as a holiday classic, It's a Wonderful Life should not be dismissed. It is a heartwarming tale whose message holds truth both for individuals and for societal values."
"Make Mine Music",tt0038718,1946,6,"This is little more than cute stories with fun music."
"Fun & Fancy Free",tt0039404,1947,7,"These miniature stories are good for what they are."
"The Adventures of Ichabod and Mr. Toad",tt0041094,1949,6,"These are great stories with no character development."
"All About Eve",tt0042192,1950,9,"A fascinating story of a manipulative actress's rise to power. You'll love to hate her by the end."
"Roman Holiday",tt0046250,1953,7,"Excellent Romantic Comedy—many of the modern attempts could learn something from this movie."
"Peter Pan",tt0046183,1953,7,"The characters are eccentric and therefore fun, but the movie lacks heart (and likable protagonists)."
"Lady and the Tramp",tt0048280,1955,8,"Though not much else, this movie offers strong character development."
"The Searchers",tt0049730,1956,10,"Westerns have a history of simplification and, for a long time, needed a more thorough tackling of the genre. That is why John Ford's darker undertaking starring the Duke, himself, is both a relief and the greatest revisioning of the heart of Westerns."
"The Ten Commandments",tt0049833,1956,9,"If you watch this in the 1956 mindset, then it will be one of the most beautiful movies you've ever seen. Each shot of DeMille's masterpiece is framed with thought and elegance."
"The Bad Seed",tt0048977,1956,7,***
"12 Angry Men",tt0050083,1957,10,"Twelve Angry Men has assumed a pop-position as a universally loved film classic. ""Everyone loves Twelve Angry Men,"" they say. Its tight script, stirring acting, and novel setting makes for a movie everyone can enjoy. And that's all right with me. Though the uppity critic within me doubts that the average audience appreciates everything this movie does right, I hope to expel that attitude since I love having a film that everyone can agree on. Twelve Angry Men has filled the role, perfectly, of an introductory movie to show people the magic of classic cinema—something we should all be grateful for."
"Remember the Titans",tt0210945,2000,8,***
